Duration,Temp1,Temp2,Temp1Rel,Temp2Rel,CD1,CD2,CD1Norm,CD2Norm
0,32,32,0,0,0,0,0,0
1,31.6333333333333,27,0.366666666666667,5,0.183333333333334,2.5,0.114583333333333,1.19047619047619
2,31.2666666666667,27,0.733333333333334,5,0.733333333333334,7.5,0.458333333333334,3.57142857142857
3,30.9,27,1.1,5,1.65,12.5,1.03125,5.95238095238095
4,30.5333333333333,27,1.46666666666667,5,2.93333333333334,17.5,1.83333333333333,8.33333333333333
5,30.1666666666667,27,1.83333333333333,5,4.58333333333333,22.5,2.86458333333333,10.7142857142857
6,29.8,27,2.2,5,6.6,27.5,4.125,13.0952380952381
7,29.4333333333333,27,2.56666666666667,5,8.98333333333333,32.5,5.61458333333333,15.4761904761905
8,29.0666666666667,27,2.93333333333333,5,11.7333333333333,37.5,7.33333333333333,17.8571428571429
9,28.7,27,3.3,5,14.85,42.5,9.28125,20.2380952380952
10,28.3333333333333,27,3.66666666666667,5,18.3333333333333,47.5,11.4583333333333,22.6190476190476
11,27.9666666666667,22,4.03333333333333,10,22.1833333333333,55,13.8645833333333,26.1904761904762
12,27.6,22,4.4,10,26.4,65,16.5,30.952380952381
13,27.2333333333333,22,4.76666666666667,10,30.9833333333333,75,19.3645833333333,35.7142857142857
14,26.8666666666667,22,5.13333333333333,10,35.9333333333333,85,22.4583333333333,40.4761904761905
15,26.5,22,5.5,10,41.25,95,25.78125,45.2380952380952
16,26.1333333333333,22,5.86666666666667,10,46.9333333333333,105,29.3333333333333,50
17,25.7666666666667,22,6.23333333333333,10,52.9833333333333,115,33.1145833333333,54.7619047619048
18,25.4,22,6.6,10,59.4,125,37.125,59.5238095238095
19,25.0333333333333,22,6.96666666666667,10,66.1833333333333,135,41.3645833333333,64.2857142857143
20,24.6666666666667,22,7.33333333333333,10,73.3333333333333,145,45.8333333333333,69.0476190476191
21,24.3,18,7.7,14,80.85,157,50.53125,74.7619047619048
22,23.9333333333333,18,8.06666666666667,14,88.7333333333333,171,55.4583333333333,81.4285714285714
23,23.5666666666667,18,8.43333333333333,14,96.9833333333333,185,60.6145833333333,88.0952380952381
24,23.2,18,8.8,14,105.6,199,66,94.7619047619048
25,22.8333333333333,18,9.16666666666666,14,114.583333333333,213,71.6145833333333,101.428571428571
26,22.4666666666667,18,9.53333333333333,14,123.933333333333,227,77.4583333333333,108.095238095238
27,22.1,18,9.9,14,133.65,241,83.53125,114.761904761905
28,21.7333333333333,18,10.2666666666667,14,143.733333333333,255,89.8333333333333,121.428571428571
29,21.3666666666667,18,10.6333333333333,14,154.183333333333,269,96.3645833333333,128.095238095238
30,21,18,11,14,165,283,103.125,134.761904761905
31,20.6333333333333,15,11.3666666666667,17,176.183333333333,298.5,110.114583333333,142.142857142857
32,20.2666666666667,15,11.7333333333333,17,187.733333333333,315.5,117.333333333333,150.238095238095
33,19.9,15,12.1,17,199.65,332.5,124.78125,158.333333333333
34,19.5333333333333,15,12.4666666666667,17,211.933333333333,349.5,132.458333333333,166.428571428571
35,19.1666666666667,15,12.8333333333333,17,224.583333333333,366.5,140.364583333333,174.52380952381
36,18.8,15,13.2,17,237.6,383.5,148.5,182.619047619048
37,18.4333333333333,15,13.5666666666667,17,250.983333333333,400.5,156.864583333333,190.714285714286
38,18.0666666666667,15,13.9333333333333,17,264.733333333333,417.5,165.458333333333,198.809523809524
39,17.7,15,14.3,17,278.85,434.5,174.28125,206.904761904762
40,17.3333333333333,15,14.6666666666667,17,293.333333333333,451.5,183.333333333333,215
41,16.9666666666667,12,15.0333333333333,20,308.183333333333,470,192.614583333333,223.809523809524
42,16.6,12,15.4,20,323.4,490,202.125,233.333333333333
43,16.2333333333333,12,15.7666666666667,20,338.983333333333,510,211.864583333333,242.857142857143
44,15.8666666666667,12,16.1333333333333,20,354.933333333333,530,221.833333333333,252.380952380952
45,15.5,12,16.5,20,371.25,550,232.03125,261.904761904762
46,15.1333333333333,12,16.8666666666667,20,387.933333333333,570,242.458333333333,271.428571428571
47,14.7666666666667,12,17.2333333333333,20,404.983333333333,590,253.114583333333,280.952380952381
48,14.4,12,17.6,20,422.4,610,264,290.47619047619
49,14.0333333333333,12,17.9666666666667,20,440.183333333333,630,275.114583333333,300
50,13.6666666666667,12,18.3333333333333,20,458.333333333333,650,286.458333333333,309.52380952381
51,13.3,10,18.7,22,476.85,671,298.03125,319.52380952381
52,12.9333333333333,10,19.0666666666667,22,495.733333333333,693,309.833333333333,330
53,12.5666666666667,10,19.4333333333333,22,514.983333333333,715,321.864583333333,340.47619047619
54,12.2,10,19.8,22,534.6,737,334.125,350.952380952381
55,11.8333333333333,10,20.1666666666667,22,554.583333333333,759,346.614583333333,361.428571428571
56,11.4666666666667,10,20.5333333333333,22,574.933333333333,781,359.333333333333,371.904761904762
57,11.1,10,20.9,22,595.65,803,372.28125,382.380952380952
58,10.7333333333333,10,21.2666666666667,22,616.733333333333,825,385.458333333333,392.857142857143
59,10.3666666666667,10,21.6333333333333,22,638.183333333334,847,398.864583333333,403.333333333333
60,10,10,22,22,660,869,412.5,413.809523809524
